"","s","e","temp"
"1",0,3600,5.1592890243433
"2",3600,7200,5.18933608311631
"3",7200,10800,4.85638245436878
"4",10800,14400,4.18301935239847
"5",14400,18000,3.21503199801228
"6",18000,21600,2.01827719058412
"7",21600,25200,0.674193559177224
"8",25200,28800,-0.725749431350087
"9",28800,32400,-2.08628536662601
"10",32400,36000,-3.31484281954962
"11",36000,39600,-4.32785295863221
"12",39600,43200,-5.05644305584939
"13",43200,46800,-5.45112801062408
"14",46800,50400,-5.48518031980437
"15",50400,54000,-5.15644900401541
"16",54000,57600,-4.48750370863381
"17",57600,61200,-3.52409432881343
"18",61200,64800,-2.33203128525474
"19",64800,68400,-0.992699180292272
"20",68400,72000,0.402490338490844
"21",72000,75600,1.75832842936403
"22",75600,79200,2.98229706186579
"23",79200,82800,3.99087306606096
"24",82800,86400,4.71521869071577
"25",86400,90000,5.10587097699641
"26",90000,93600,5.13611050820638
"27",93600,97200,4.80378010943776
"28",97200,100800,4.13142970873868
"29",100800,104400,3.16477763439478
"30",104400,108000,1.96959333867162
"31",108000,111600,0.627214090548952
"32",111600,115200,-0.770998758960476
"33",115200,118800,-2.12988610496357
"34",118800,122400,-3.35697569648778
"35",122400,126000,-4.36878314554946
"36",126000,129600,-5.09650000432309
"37",129600,133200,-5.49068137505487
"38",133200,136800,-5.52461371753838
"39",136800,140400,-5.19613347256873
"40",140400,144000,-4.52777269606277
"41",144000,147600,-3.56522190273258
"42",147600,151200,-2.37421498188095
"43",151200,154800,-1.03604855823905
"44",154800,158400,0.357958797066848
"45",158400,162000,1.71268988421249
"46",162000,165600,2.93571061886469
"47",165600,169200,3.94356852018148
"48",169200,172800,4.66747877583015
"49",172800,176400,5.05801047474623
"50",176400,180000,5.08845375039603
"51",180000,183600,4.75663847854258
"52",183600,187200,4.08508069702146
"53",187200,190800,3.11944686982768
"54",190800,194400,1.92544073888196
"55",194400,198000,0.58432498423088
"56",198000,201600,-0.812617075613181
"57",201600,205200,-2.17030230362966
"58",205200,208800,-3.3963271590829
"59",208800,212400,-4.40726418376153
"60",212400,216000,-5.13434652384914
"61",216000,219600,-5.5281531722609
"62",219600,223200,-5.56197572579083
"63",223200,226800,-5.2336373076931
"64",226800,230400,-4.56563978575774
"65",230400,234000,-3.60362933072753
"66",234000,237600,-2.41328494780904
"67",237600,241200,-1.07584206732427
"68",241200,244800,0.317443722035638
"69",244800,248400,1.67151550832914
"70",248400,252000,2.89399267615033
"71",252000,255600,3.90146591056281
